paper_id_new,paper_id,coder,data,data_standardized,sensor,brand,metric,metric_larger_category,metric_smaller_category,metric_IG_category,data_per_metric,data_metric_method,outcome,outcome_instrument,outcome_smaller_category,outcome_larger_category,analysis_and_results mm-oo:analysis:resultsig,
1,1,bert,III) Audio,III) Audio,III) microphone,III) NS,1) speech time,1) Verbal,1) Speech Features,1) individual,1) III,1) calculation,A) verbal participation,A) survey,A) communication,A) process,1-A: t-test: sig: (t[38] = 2.18),
2,3,bert,"I) Eye gaze
III) Audio","I) Eye gaze
III) Audio","I) eye-tracker
III) microphone","I) Tobii 1750
III) NS","1) focused gaze 
2) together gaze 
3) dialogue episode
4) gaze transitions","1) Gaze
2) Gaze
3) Verbal
4) Gaze","1) Visual Attention
2) Visual Attention
3) Speech Content
4) Eye Motion","1) individual
2) group
3) individual
4) individual","1) I
2) I
3) III
4) I","1) calculation (entropy)
2) calculation
3) calculation
4) calculation","A) program understanding
B) dialogue episodes","A) researcher codes
B) researcher codes","A) performance
B) coordination","A) product
B) process","1+2-A: anova: sig
1+2-A+B: mixed linear model: sig
4-B: anova: sig",
3,4,edwin,"VI) EDA
VII) ECG","VI) Physiological
VII) Physiological","VI) Varioport 16-bit digital skin conductance amplifier
VII) modified Lead II configuration","VI) Varioport-B portable recorder system
VII) NS",1) physiological linkage,1) Physiological,1) EDA,1) individual,1) VI&VII,1) correlation,"A) behavioral Involvement
B) empathy
C) negative Feelings
D) perceived comprehension","A) Social Presence in Gaming Questionnaire
B) Social Presence in Gaming Questionnaire
C) Social Presence in Gaming Questionnaire
D) Social Presence Inventory Questionnaire","A) cognitive engagement
B) affective
C) affective
D) learning","A) process
B) process
C) process
D) product","1-A: regression: sig
1-B: regression: sig
1-C: regression: sig
1-D: regression: sig",
4,5,iulian,"II) Video
III) Audio
X) Time of flight 3D map","II) Video
III) Audio
X) Body language","II) kinect
III) microphone
X) IRMA Matrix ToF sensors","II) Microsoft
III) not stated
X) Infrared Intelligent Systems","1) non-verbal speaking metrics
2) visual attention
3) verbal dominance and information metrics","1) Verbal
2) Gaze
3) Verbal","1) Speech Participation
2) Visual Attention
3) Speech Participation","1) individual
2) group
3) group","1) X
2) II
3) III","1) Calculation
2) Calculation
3) Calculation","A) perceived leadership
B) perceived contribution","A) questionnaire
B) questionnaire","A) interpersonal relationship / perception
B) interpersonal relationship / perception","A) process
B) process","3-A: correlation : sig
3-B: correlation : sig
1-A: correlation : nonsig
1-B: correlation : nonsig
2-A: correlation : nonsig
2-B: correlation : sig
1*2*3-A: regression: nonsig
1*2*3-B: regression: nonsig",
5,6,bert,"VI) EDA
II) Video","VI) Physiological
II) Video","VI) EDA sensor
II) video camera","VI) Empatica
II) NS","1) eda peak detection 
2) physiological concordance index","1) Physiological
2) Physiological","1) EDA
2) Combined","1) individual
2) group","1) VI
2) II","1) calculation
2) calculation","A) monitoring of behavior, cognition, motivations and emotions ","A) Video coding of monitoring (behavior, cognition, motivations and emotions) ",A) cognitive engagement,A) process,"1,2-A: correlation: sig: (r=0.663)",
6,10,steph,"III) Audio
IV) Video","III) Audio
IV) Video","III) Microphone
IV) video camera","III) NS
IV) Logitech R Webcam Pro 9000","1) group participation speaking cues
2) silence and overlap cues
3) speaking distribution cues
4) individual visual focus of attention
5) group looking cues","1) Verbal
2) Verbal
3) Verbal
4) Gaze
5) Gaze","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Visual Attention
5) Visual Attention ","1) individual
2) group
3) group
4) individual
5) group","1) III
2) III
3) III
4) IV
5) IV","1) Calculation
2) Calculation
3) Calculation
4) Maximum Aposteriori Rule
5) Calculation","A) group composition
B) group interpersonal perception
C) group performance","A) NEO-FFI questionnaire
B) Questionnaire
C) Negative distance between expert list and group list","A) group composition
B) interpersonal relationship / perception
C) performance","A) condition
B) process
C) product","1-A: correlation: sig
2-A: correlation: sig
3-A: correlation: sig
4-A: correlation: sig
5-A: correlation: sig
1-B: correlation: sig
2-B: correlation: sig
3-B: correlation: sig
4-B: correlation: sig
5-B: correlation: sig
1-C: correlation: sig
2-C: correlation: sig
3-C: correlation: sig
4-C: correlation: sig
5-C: correlation: sig
1+2-A: regression: sig
2+3-B: regression: sig
2-C: regression: sig",
7,11,edwin,"I) Audio
II) Video","I) Audio
II) Video","I) NS
II) NS","I) NS
II) NS","1) GeMAPS acoustic features
2) extended GeMAPs acoustic features
3) MFCCs
4) facial action units","1) Verbal
2) Verbal
3) Verbal
4) Head","1) Speech Features
2) Speech Features
3) Speech Features
4) Facial Expressions","1) individual
2) individual
3) individual
4) individual","1) I
2) I
3) I
4) II","1) other: OpenSMILE
2) other: OpenSMILE
3) other: OpenSMILE
4) other: OpenFace","A) voiced Laughter
B) unvoiced Laughter
C) speech Laughter","A) Voicing probability and unvoiced frame ratio
B) Voicing probability and unvoiced frame ratio
C) Human Annotations","A) interpersonal relationship / perception
B) interpersonal relationship / perception
C) interpersonal relationship / perception","A) process
B) process
C) process","1+2+3+4-A: sup. machine learning: nonsig
1+3+3+4-B: sup. machine learning: nonsig
1+2+3+4-C: sup. machine learning: nonsig",
8,12,bert,I) Audio,I) Audio,I) Microphone,I) NS,"1) speech features 
2) linguistic features","1) Verbal
2) Verbal","1) Speech Features
2) Speech Content","1) individual
2) individual","1) I
2) I ","1) calculation
2) calculation",A) group performance,A) group scores compared to expert scores,A) performance,A) product,1+2-A: sup. machine learning: 64.4,is this sig?
9,14,callie,I) Eye gaze,I) Eye gaze,I) eyetracker,I) NS,"1) perceptual with-me-ness (gaze)
2) conceptual with-me-ness (gaze)
3) gaze similarity ","1) Gaze
2) Gaze
3) Gaze","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) individual
2) individual
3) group","1) I
2) I
3) I","1) calculation
2) calculation 
3) calculation",A) learning gains,A) pre-post test,A) learning,A) product,"1-A: correlation: sig: (r = 0.51)
2-A: correlation: sig: (r = 0.41)
3-A: correlation: sig: (r = 0.39)",
10,15,edwin,I) Eye gaze,I) Eye gaze,I) eye-tracking glasses,I) SMI,"1) gaze fixations
2) gaze saccades","1) Gaze
2) Gaze","1) Visual Attention
2) Eye Motion","1) individual
2) individual","1) I
2) I","1) other: BeGaze
2) other: BeGaze",A) reference-action sequence,A) researcher codes,A) performance,A) product,1+2-A: correlation: nonsig,
